,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
0,24,510,40,88101,3,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,2021-01-01,Micrograms/cubic meter (LC),No Events,24,100.0,Y,7.5,19.0,0,,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2022-04-06
1027,24,510,40,88101,3,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,2021-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.5,7.5,0,31.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2023-02-05
1028,24,510,40,88101,3,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,2021-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.5,7.5,0,31.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2023-02-05
1029,24,510,40,88101,3,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,2021-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.5,7.5,0,31.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2023-02-05
1030,24,510,40,88101,3,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2021-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.5,7.5,0,31.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2023-02-05
1026,24,510,40,88101,3,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,2021-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,7.5,7.5,0,31.0,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2023-02-05
370,24,510,40,88101,1,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,2021-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.4,8.4,0,35.0,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2022-04-06
369,24,510,40,88101,1,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,2021-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.4,8.4,0,35.0,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2022-04-06
368,24,510,40,88101,1,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,2021-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.4,8.4,0,35.0,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2022-04-06
367,24,510,40,88101,1,39.297733,-76.604603,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,2021-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.4,8.4,0,35.0,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Oldtown,"Oldtown Fire Station, 1100 Hillen Street",Maryland,Baltimore (City),Baltimore,12580,"Baltimore-Columbia-Towson, MD",2022-04-06
